Stname,STCODE,CTYCODE,Cases2000,Cases2001,Cases2002,Cases2003,Cases2004,Cases2005,Cases2006,Cases2007,Cases2008,Cases2009,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,CENSUS2010POP
Alaska,2,20,0.0034266994716029412,0.0034266994716029412,0.0034266994716029412,0.0068533989432058825,0.0034266994716029412,0.0034266994716029412,0.0034266994716029412,0.010280098414808824,0.0034266994716029412,0.013706797886411765,0,0.010280098414808824,0.0034266994716029412,0.017133497358014706,0.013706797886411765,0.0068533989432058825,0.017133497358014706,0.020560196829617648,0.010280098414808824,291826
Alaska,2,50,0,0,0,0,0,0,0,0.05877858108505261,0,0,0,0,0,0.05877858108505261,0,0,0,0,0,17013
Alaska,2,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,997
Alaska,2,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547645125958379,1826
Alaska,2,70,0,0,0,0,0,0,0,0.20631318341242005,0,0,0,0,0,0,0,0,0,0,0,4847
Alaska,2,90,0.010247896619218906,0.010247896619218906,0,0.010247896619218906,0.010247896619218906,0,0,0,0.010247896619218906,0,0,0.010247896619218906,0.010247896619218906,0.020495793238437813,0,0.020495793238437813,0.05123948309609453,0.010247896619218906,0.010247896619218906,97581
Alaska,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508
Alaska,2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150
Alaska,2,110,0,0,0.0319744204636291,0,0.0319744204636291,0,0,0,0.0319744204636291,0,0,0,0.0639488409272582,0.0319744204636291,0,0.0319744204636291,0,0,0.0319744204636291,31275
Alaska,2,122,0,0,0,0,0,0,0.018050541516245487,0.018050541516245487,0.018050541516245487,0,0.05415162454873646,0.05415162454873646,0.018050541516245487,0,0.018050541516245487,0.018050541516245487,0.036101083032490974,0.018050541516245487,0.07220216606498195,55400
Alaska,2,130,0,0,0.07420048972323216,0,0,0,0,0,0.07420048972323216,0.07420048972323216,0,0.07420048972323216,0.14840097944646433,0,0,0,0,0,0,13477
Alaska,2,150,0,0,0,0,0,0,0,0,0,0,0,0.07357268981753973,0,0,0,0.07357268981753973,0,0,0,13592
Alaska,2,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1631
Alaska,2,170,0,0,0,0,0,0.011236586325074441,0,0.044946345300297764,0.011236586325074441,0.011236586325074441,0.033709758975223325,0.011236586325074441,0.011236586325074441,0.044946345300297764,0.033709758975223325,0.011236586325074441,0.033709758975223325,0.011236586325074441,0.011236586325074441,88995
Alaska,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9492
Alaska,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9430
Alaska,2,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7523
Alaska,2,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3815
Alaska,2,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5559
Alaska,2,220,0,0,0,0,0,0,0.11259993244004055,0,0,0.11259993244004055,0,0.11259993244004055,0.11259993244004055,0,0,0.11259993244004055,0,0,0,8881
Alaska,2,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968
Alaska,2,240,0,0,0,0,0,0.1422677479015507,0,0,0,0,0,0,0,0,0,0,0,0,0,7029
Alaska,2,261,0,0,0,0,0,0.10377750103777501,0,0,0,0,0.10377750103777501,0,0,0,0,0,0,0,0,9636
